player.givenName,player.surname,team.name,goals,behinds,goalAccuracy,goalAssists,disposals,kicks,handballs,contestedPossessions,uncontestedPossessions,totalPossessions,tackles,intercepts,rebound50s,disposalEfficiency,clangers,metresGained,scoreInvolvements,bounces
Logan,McDonald,Sydney Swans,1,1,50.0,0,12,8,4,5,7,12,0,0,0,75.0,1,160,6,0
Justin,McInerney,Sydney Swans,1,0,100.0,0,20,6,14,8,12,20,1,8,3,85.0,3,226,6,0
Hayden,McLean,Sydney Swans,0,1,0.0,0,16,7,9,5,11,16,3,1,2,81.3,4,223,5,0
Callum,Mills,Sydney Swans,0,2,0.0,0,14,10,4,4,10,14,3,3,3,57.1,3,250,3,0
Tom,Papley,Sydney Swans,2,1,66.7,1,19,15,4,6,15,21,1,1,0,63.2,4,289,8,0
Luke,Parker,Sydney Swans,0,0,0.0,1,12,6,6,5,8,13,4,2,1,75.0,4,192,2,0
Dane,Rampe,Sydney Swans,0,0,0.0,0,10,4,6,4,7,11,2,6,4,80.0,0,104,2,0
James,Rowbottom,Sydney Swans,0,0,0.0,1,19,5,14,8,11,19,5,2,1,94.7,3,93,5,0
Chad,Warner,Sydney Swans,1,0,100.0,1,26,16,10,12,14,26,3,7,2,76.9,2,584,11,1
Sam,Wicks,Sydney Swans,3,1,75.0,3,14,5,9,6,8,14,5,2,0,85.7,1,86,8,0
Sam,Frost,Hawthorn,0,0,0.0,0,12,6,6,2,11,13,4,5,1,100.0,4,87,4,0
Chad,Wingard,Hawthorn,2,0,100.0,1,26,12,14,9,17,26,5,4,0,80.8,4,237,10,0
Josh,Ward,Hawthorn,0,0,0.0,0,15,11,4,1,14,15,2,0,0,73.3,2,265,4,0
Mitch,Lewis,Hawthorn,2,2,50.0,2,8,6,2,3,5,8,0,0,0,75.0,1,169,7,0
Jarman,Impey,Hawthorn,0,0,0.0,1,31,19,12,7,23,30,2,8,4,64.5,4,501,7,2
James,Blanck,Hawthorn,0,0,0.0,0,6,4,2,3,3,6,1,4,1,100.0,1,33,1,0
Luke,Breust,Hawthorn,6,0,75.0,0,8,8,0,1,7,8,1,0,0,75.0,1,198,7,0
Will,Day,Hawthorn,2,0,100.0,2,22,17,5,5,17,22,4,4,5,90.9,3,704,6,4
Cam,Mackenzie,Hawthorn,0,0,0.0,1,7,4,3,2,5,7,0,1,0,71.4,2,62,3,0
Finn,Maginness,Hawthorn,0,0,0.0,0,10,4,6,1,10,11,2,2,1,80.0,3,122,5,0
Lloyd,Meek,Hawthorn,0,0,0.0,1,10,2,8,10,3,13,5,1,2,40.0,4,8,2,0
Seamus,Mitchell,Hawthorn,0,0,0.0,0,5,3,2,2,3,5,0,4,1,80.0,1,34,2,0
Dylan,Moore,Hawthorn,1,0,100.0,1,20,9,11,7,13,20,3,2,0,85.0,1,310,9,0
Brandon,Ryan,Hawthorn,1,1,25.0,0,8,8,0,3,4,7,2,1,0,37.5,3,159,4,0
Blake,Hardwick,Hawthorn,0,0,0.0,0,19,12,7,5,15,20,2,6,3,89.5,1,195,5,0
Lachlan,Bramble,Hawthorn,0,0,0.0,0,15,10,5,5,6,11,1,5,3,46.7,6,356,1,3
Connor,Macdonald,Hawthorn,0,0,0.0,0,18,10,8,4,14,18,5,2,1,77.8,1,340,5,0
Jai,Newcombe,Hawthorn,0,0,0.0,0,20,7,13,13,12,25,5,4,3,80.0,3,239,3,0
Josh,Weddle,Hawthorn,0,0,0.0,0,17,6,11,3,13,16,1,6,1,88.2,1,78,4,0
James,Worpel,Hawthorn,0,0,0.0,0,30,9,21,19,15,34,4,6,2,80.0,2,300,8,0
Conor,Nash,Hawthorn,0,0,0.0,0,22,6,16,8,14,22,0,2,0,86.4,3,189,8,0
Tyler,Brockman,Hawthorn,0,1,0.0,1,8,4,4,4,4,8,1,2,2,62.5,3,107,4,0
James,Sicily,Hawthorn,0,0,0.0,0,26,16,10,6,19,25,1,8,6,80.8,4,410,3,2
Mitch,Owens,St Kilda,0,0,0.0,1,13,7,6,5,8,13,4,1,0,76.9,1,200,4,2
Mason,Wood,St Kilda,1,0,100.0,1,25,19,6,14,11,25,4,9,5,52.0,8,493,3,1
Callum,Wilkie,St Kilda,0,0,0.0,0,19,16,3,4,15,19,0,7,8,89.5,0,230,3,0
Zaine,Cordy,St Kilda,1,0,100.0,1,6,3,3,4,3,7,1,2,0,66.7,3,19,5,0
Jack,Billings,St Kilda,0,0,0.0,1,15,6,9,6,9,15,2,4,1,80.0,0,57,3,0
Anthony,Caminiti,St Kilda,2,0,66.7,1,8,6,2,7,3,10,2,1,0,87.5,1,188,5,0
Jade,Gresham,St Kilda,1,0,100.0,0,19,13,6,3,16,19,5,1,2,73.7,3,324,4,1
Jack,Sinclair,St Kilda,0,0,0.0,1,26,22,4,6,15,21,2,8,3,92.3,2,508,6,0
Jack,Steele,St Kilda,0,0,0.0,0,23,11,12,13,10,23,12,3,1,78.3,4,348,8,0
Mattaes,Phillipou,St Kilda,0,1,0.0,0,13,9,4,5,9,14,4,3,0,76.9,2,190,2,0
Liam,Stocker,St Kilda,0,0,0.0,0,17,11,6,3,15,18,1,6,3,94.1,2,163,2,0
Nasiah,Wanganeen-Milera,St Kilda,1,0,100.0,1,33,19,14,4,24,28,1,5,3,81.8,3,396,3,2
Cooper,Sharman,St Kilda,2,1,66.7,1,8,6,2,3,5,8,1,0,0,87.5,4,232,5,0
Jimmy,Webster,St Kilda,0,0,0.0,0,14,5,9,4,10,14,1,4,1,92.9,3,115,2,0
Rowan,Marshall,St Kilda,1,0,100.0,0,22,11,11,10,10,20,4,4,1,68.2,1,258,5,0
Zak,Jones,St Kilda,0,0,0.0,0,2,1,1,2,1,3,0,0,0,50.0,1,5,1,0
Brad,Crouch,St Kilda,3,0,75.0,0,32,21,11,13,18,31,4,4,0,56.3,8,514,12,0
Hunter,Clark,St Kilda,1,0,100.0,1,18,7,11,5,12,17,7,0,0,83.3,1,146,7,0
Jack,Higgins,St Kilda,2,3,28.6,0,12,10,2,2,10,12,1,1,0,50.0,2,291,7,1
Josh,Battle,St Kilda,0,0,0.0,0,18,13,5,6,11,17,4,7,1,72.2,4,251,1,0
Ryan,Byrnes,St Kilda,0,0,0.0,2,16,10,6,3,14,17,1,2,1,87.5,2,221,9,0
Marcus,Windhager,St Kilda,0,0,0.0,0,18,13,5,1,18,19,0,2,1,88.9,3,253,1,1
Dan,Butler,St Kilda,4,0,100.0,2,17,11,6,5,11,16,2,2,0,88.2,1,322,7,0
